interactor,other_interactor
http://rdf.glycoinfo.org/dbid/uniprot/P00519,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P05089,http://rdf.glycoinfo.org/dbid/CHEBI/40520
http://rdf.glycoinfo.org/dbid/uniprot/P05089,http://rdf.glycoinfo.org/dbid/CHEBI/59346
http://rdf.glycoinfo.org/dbid/uniprot/P06733,http://rdf.glycoinfo.org/dbid/CHEBI/17835
http://rdf.glycoinfo.org/dbid/uniprot/P53667,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P53671,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q04771,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q05397,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q12933,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q13043,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q13177,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/Q86WV6,http://rdf.glycoinfo.org/dbid/CHEBI/71580
http://rdf.glycoinfo.org/dbid/uniprot/Q86WV6,http://rdf.glycoinfo.org/dbid/CHEBI/75934
http://rdf.glycoinfo.org/dbid/uniprot/Q86WV6,http://rdf.glycoinfo.org/dbid/CHEBI/75947
http://rdf.glycoinfo.org/dbid/uniprot/Q86WV6,http://rdf.glycoinfo.org/dbid/CHEBI/75948
http://rdf.glycoinfo.org/dbid/uniprot/Q8NC51,http://rdf.glycoinfo.org/dbid/CHEBI/77556
http://rdf.glycoinfo.org/dbid/uniprot/Q92844,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q96GD4,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q9BZL6,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q9H2G2,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P42684,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P61247,http://rdf.glycoinfo.org/dbid/CHEBI/77556
http://rdf.glycoinfo.org/dbid/uniprot/P62269,http://rdf.glycoinfo.org/dbid/CHEBI/77556
http://rdf.glycoinfo.org/dbid/uniprot/Q709F0,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P09417,http://rdf.glycoinfo.org/dbid/CHEBI/77556
http://rdf.glycoinfo.org/dbid/uniprot/P16083,http://rdf.glycoinfo.org/dbid/CHEBI/77556
http://rdf.glycoinfo.org/dbid/uniprot/P32320,http://rdf.glycoinfo.org/dbid/CHEBI/77556
http://rdf.glycoinfo.org/dbid/uniprot/P68431,http://rdf.glycoinfo.org/dbid/CHEBI/16238
http://rdf.glycoinfo.org/dbid/uniprot/Q12851,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q13557,http://rdf.glycoinfo.org/dbid/CHEBI/77556
http://rdf.glycoinfo.org/dbid/uniprot/Q16695,http://rdf.glycoinfo.org/dbid/CHEBI/16238
http://rdf.glycoinfo.org/dbid/uniprot/Q9Y4K4,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P16591,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P22303,http://rdf.glycoinfo.org/dbid/CHEBI/15355
http://rdf.glycoinfo.org/dbid/uniprot/P22303,http://rdf.glycoinfo.org/dbid/CHEBI/17835
http://rdf.glycoinfo.org/dbid/uniprot/P29597,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P30530,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P55263,http://rdf.glycoinfo.org/dbid/CHEBI/77556
http://rdf.glycoinfo.org/dbid/uniprot/Q04912,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q14289,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q9NSY1,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P36639,http://rdf.glycoinfo.org/dbid/CHEBI/77555
http://rdf.glycoinfo.org/dbid/uniprot/P36639,http://rdf.glycoinfo.org/dbid/CHEBI/77556
http://rdf.glycoinfo.org/dbid/uniprot/Q8IVH8,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q9H6S1,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q9UKL6,http://rdf.glycoinfo.org/dbid/CHEBI/15440
http://rdf.glycoinfo.org/dbid/uniprot/Q9UKL6,http://rdf.glycoinfo.org/dbid/CHEBI/16521
http://rdf.glycoinfo.org/dbid/uniprot/Q9UKL6,http://rdf.glycoinfo.org/dbid/CHEBI/28865
http://rdf.glycoinfo.org/dbid/uniprot/Q9UM73,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P05067,http://rdf.glycoinfo.org/dbid/CHEBI/29105
http://rdf.glycoinfo.org/dbid/uniprot/P09486,http://rdf.glycoinfo.org/dbid/CHEBI/29108
http://rdf.glycoinfo.org/dbid/uniprot/Q06481,http://rdf.glycoinfo.org/dbid/CHEBI/29105
http://rdf.glycoinfo.org/dbid/uniprot/P05546,http://rdf.glycoinfo.org/dbid/CHEBI/29105
http://rdf.glycoinfo.org/dbid/uniprot/P51693,http://rdf.glycoinfo.org/dbid/CHEBI/29105
http://rdf.glycoinfo.org/dbid/uniprot/P39060%23PRO_0000005794,http://rdf.glycoinfo.org/dbid/CHEBI/29105
http://rdf.glycoinfo.org/dbid/uniprot/J3QS39,http://rdf.glycoinfo.org/dbid/CHEBI/156041
http://rdf.glycoinfo.org/dbid/uniprot/O00214-2,http://rdf.glycoinfo.org/dbid/CHEBI/16336
http://rdf.glycoinfo.org/dbid/uniprot/O00481,http://rdf.glycoinfo.org/dbid/CHEBI/15664
http://rdf.glycoinfo.org/dbid/uniprot/O00481,http://rdf.glycoinfo.org/dbid/CHEBI/16584
http://rdf.glycoinfo.org/dbid/uniprot/O15085-2,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P0C6X7%23PRO_0000037317,http://rdf.glycoinfo.org/dbid/CHEBI/15414
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449628,http://rdf.glycoinfo.org/dbid/CHEBI/144023
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449628,http://rdf.glycoinfo.org/dbid/CHEBI/15414
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449630,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449630,http://rdf.glycoinfo.org/dbid/CHEBI/15713
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449630,http://rdf.glycoinfo.org/dbid/CHEBI/157699
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449630,http://rdf.glycoinfo.org/dbid/CHEBI/157700
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449630,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449633,http://rdf.glycoinfo.org/dbid/CHEBI/144023
http://rdf.glycoinfo.org/dbid/uniprot/P23219,http://rdf.glycoinfo.org/dbid/CHEBI/15843
http://rdf.glycoinfo.org/dbid/uniprot/P59594,http://rdf.glycoinfo.org/dbid/CHEBI/16412
http://rdf.glycoinfo.org/dbid/uniprot/A6NMZ7,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P01599,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P0C6U8,http://rdf.glycoinfo.org/dbid/CHEBI/15414
http://rdf.glycoinfo.org/dbid/uniprot/P0C6X7%23PRO_0000037318,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/P0C6X7%23PRO_0000037319,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449623,http://rdf.glycoinfo.org/dbid/CHEBI/147376
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449623,http://rdf.glycoinfo.org/dbid/CHEBI/147409
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449623,http://rdf.glycoinfo.org/dbid/CHEBI/152560
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449623,http://rdf.glycoinfo.org/dbid/CHEBI/152561
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449623,http://rdf.glycoinfo.org/dbid/CHEBI/156060
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449623,http://rdf.glycoinfo.org/dbid/CHEBI/156327
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449623,http://rdf.glycoinfo.org/dbid/CHEBI/156394
http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1%23PRO_0000449623,http://rdf.glycoinfo.org/dbid/CHEBI/16243
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC1%23PRO_0000449637,http://rdf.glycoinfo.org/dbid/CHEBI/16027
http://rdf.glycoinfo.org/dbid/uniprot/Q8IUC0,http://rdf.glycoinfo.org/dbid/CHEBI/16336
http://rdf.glycoinfo.org/dbid/uniprot/Q969X0,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/O00206,http://rdf.glycoinfo.org/dbid/CHEBI/16336
http://rdf.glycoinfo.org/dbid/uniprot/O15118,http://rdf.glycoinfo.org/dbid/CHEBI/16113
http://rdf.glycoinfo.org/dbid/uniprot/O60341,http://rdf.glycoinfo.org/dbid/CHEBI/16238
http://rdf.glycoinfo.org/dbid/uniprot/O60603,http://rdf.glycoinfo.org/dbid/CHEBI/16336
http://rdf.glycoinfo.org/dbid/uniprot/P00751,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P01111,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P01116,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P01116,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/P02649,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P02671,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P02675,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P05106,http://rdf.glycoinfo.org/dbid/CHEBI/138409
http://rdf.glycoinfo.org/dbid/uniprot/P08603,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P0DP24,http://rdf.glycoinfo.org/dbid/CHEBI/144716
http://rdf.glycoinfo.org/dbid/uniprot/P10644,http://rdf.glycoinfo.org/dbid/CHEBI/145729
http://rdf.glycoinfo.org/dbid/uniprot/P10644,http://rdf.glycoinfo.org/dbid/CHEBI/145730
http://rdf.glycoinfo.org/dbid/uniprot/P10909,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P16070,http://rdf.glycoinfo.org/dbid/CHEBI/16336
http://rdf.glycoinfo.org/dbid/uniprot/P20339,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P25054,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P35228,http://rdf.glycoinfo.org/dbid/CHEBI/16467
http://rdf.glycoinfo.org/dbid/uniprot/P35354,http://rdf.glycoinfo.org/dbid/CHEBI/15843
http://rdf.glycoinfo.org/dbid/uniprot/P35568,http://rdf.glycoinfo.org/dbid/CHEBI/16336
http://rdf.glycoinfo.org/dbid/uniprot/P61586,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P62820,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/Q00610,http://rdf.glycoinfo.org/dbid/CHEBI/132781
http://rdf.glycoinfo.org/dbid/uniprot/Q07817,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/Q13451,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/Q13976,http://rdf.glycoinfo.org/dbid/CHEBI/16356
http://rdf.glycoinfo.org/dbid/uniprot/Q8N335,http://rdf.glycoinfo.org/dbid/CHEBI/15978
http://rdf.glycoinfo.org/dbid/uniprot/Q9BST9,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/O00187,http://rdf.glycoinfo.org/dbid/CHEBI/157651
http://rdf.glycoinfo.org/dbid/uniprot/O00299,http://rdf.glycoinfo.org/dbid/CHEBI/132781
http://rdf.glycoinfo.org/dbid/uniprot/O00299,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O00505,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/O00560,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O00602,http://rdf.glycoinfo.org/dbid/CHEBI/153787
http://rdf.glycoinfo.org/dbid/uniprot/O14656,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/O14657,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/O14966,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/O14980,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O43491,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O43633,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O43707,http://rdf.glycoinfo.org/dbid/CHEBI/132781
http://rdf.glycoinfo.org/dbid/uniprot/O43707,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O60716,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O75323,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O75396,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O94766,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O94826,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O94955,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/O94973,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O95271,http://rdf.glycoinfo.org/dbid/CHEBI/15846
http://rdf.glycoinfo.org/dbid/uniprot/O95295,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/O95433,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/O95786,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/O95994,http://rdf.glycoinfo.org/dbid/CHEBI/16618
http://rdf.glycoinfo.org/dbid/uniprot/P00734,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P00747,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P01009,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P01024,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P01112,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/P02647,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P02652,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P02751,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P02760,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P02768,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P04196,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P06733,http://rdf.glycoinfo.org/dbid/CHEBI/132781
http://rdf.glycoinfo.org/dbid/uniprot/P08238,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/P08571,http://rdf.glycoinfo.org/dbid/CHEBI/16412
http://rdf.glycoinfo.org/dbid/uniprot/P09874,http://rdf.glycoinfo.org/dbid/CHEBI/15846
http://rdf.glycoinfo.org/dbid/uniprot/P09917,http://rdf.glycoinfo.org/dbid/CHEBI/15843
http://rdf.glycoinfo.org/dbid/uniprot/P0DMV8,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/101381
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/134256
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/135632
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/140144
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/140622
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/150007
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/150008
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/150009
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/150010
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/156532
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/156533
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/156535
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/16113
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/16393
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2,http://rdf.glycoinfo.org/dbid/CHEBI/16412
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC9,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/P0DTC9,http://rdf.glycoinfo.org/dbid/CHEBI/156271
http://rdf.glycoinfo.org/dbid/uniprot/P10114,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P11021,http://rdf.glycoinfo.org/dbid/CHEBI/132781
http://rdf.glycoinfo.org/dbid/uniprot/P11142,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/P12931,http://rdf.glycoinfo.org/dbid/CHEBI/15530
http://rdf.glycoinfo.org/dbid/uniprot/P12931,http://rdf.glycoinfo.org/dbid/CHEBI/15532
http://rdf.glycoinfo.org/dbid/uniprot/P13639,http://rdf.glycoinfo.org/dbid/CHEBI/132781
http://rdf.glycoinfo.org/dbid/uniprot/P15056,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/P17931,http://rdf.glycoinfo.org/dbid/CHEBI/156513
http://rdf.glycoinfo.org/dbid/uniprot/P17931,http://rdf.glycoinfo.org/dbid/CHEBI/16153
http://rdf.glycoinfo.org/dbid/uniprot/P18754,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P19823,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P19827,http://rdf.glycoinfo.org/dbid/CHEBI/16024
http://rdf.glycoinfo.org/dbid/uniprot/P20338,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P20340,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P22033,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P22830,http://rdf.glycoinfo.org/dbid/CHEBI/133626
http://rdf.glycoinfo.org/dbid/uniprot/P30048,http://rdf.glycoinfo.org/dbid/CHEBI/16240
